19000	0.0382511	62.5723446369273
18000	0.0381909	62.4738675958188
17000	0.038136	62.3840604603229
16000	0.0380524	62.2473049680195
15000	0.0379883	62.1424481850452
14000	0.0379151	62.0227053377174
13000	0.0378323	61.8872585104121
12000	0.0377363	61.7302187106378
11000	0.0376146	61.531138047799
10000	0.0374793	61.3098100799921
9000	0.0373185	61.0467684153703
7999.99	0.0371209	60.7235281608349
7000.01	0.036873	60.3180055945429
6000	0.0365465	59.7839066921856
4999.99	0.0361904	59.201387184898
3999.98	0.0355779	58.1994405457133
3000	0.034701	56.7649801246503
1999.99	0.0332516	54.3940063143086
1000	0.0301457	49.3132780422372
949.998	0.0298572	48.8413407272906
900	0.0295598	48.3548445142399
849.998	0.0292416	47.8343230112382
799.987	0.0289051	47.2838657964044
750.004	0.0285414	46.6889139716347
700	0.0281395	46.0314733932048
649.998	0.0277066	45.3233220460977
599.996	0.0272307	44.5448299553418
549.989	0.0266931	43.665407076606
499.998	0.0260968	42.6899609036332
449.994	0.0254295	41.5983707120773
399.993	0.0246564	40.3337095745203
350.008	0.0237462	38.8447759729106
300.001	0.0226805	37.1014706122916
249.997	0.0213974	35.0025355384339
200.002	0.0197836	32.3626310709787
190.002	0.01939	31.7187678919043
179.996	0.0189853	31.0567469859809
169.994	0.0185594	30.3600464576074
159.999	0.0181058	29.6180334036741
149.998	0.0176237	28.8293991591827
139.998	0.0171051	27.9810570741522
129.991	0.0165439	27.0630285779719
120.004	0.0159358	26.0682795962768
109.997	0.0152729	24.9838870622107
100.002	0.014546	23.794801328295
90.0041	0.0137394	22.4753398439417
79.9955	0.0128406	21.0050547185552
69.9992	0.0118377	19.3644795602886
60.0025	0.0107112	17.5217156598125
49.9985	0.00944077	15.4435065678625
40.0066	0.00801068	13.1041206589128
30.003	0.00639592	10.4626457934599
20.0036	0.00455802	7.45615154340678
17.9945	0.00407944	6.67327542490717
15.9984	0.00363567	5.9473425921382
14.001	0.00315464	5.16045868708184
12.0004	0.00273649	4.47643585087762
9.99626	0.00230707	3.77397719651241
7.9902	0.00188078	3.07663869395233
6.00174	0.00144211	2.35904860054637
4.00369	0.00100007	1.63594575583583
1.98868	4.99576E-4	0.817222031375243
0.00239744	4.58971E-5	0.0750799103564476
-1.99794	-3.80268E-4	-0.622054276880797
-4.0055	-7.3224E-4	-1.19782107277813
-6.0036	-0.001069	-1.74870360373624
-8.0088	-0.00141541	-2.31537190623415
-10.0012	-0.00177421	-2.90230815789043
-12.0053	-0.00214101	-3.5023310595279
-14.0033	-0.00251835	-4.11959562251558
-16.0004	-0.00290769	-4.75649016047505
-17.9895	-0.0032972	-5.39366278974661
-20.004	-0.00369436	-6.04334952806269
-29.997	-0.00564174	-9.22893458310841
-39.989	-0.00731063	-11.9589569939965
-49.9994	-0.00889806	-14.5557245914511
-59.9983	-0.0102944	-16.8399011957926
-69.9991	-0.011492	-18.7989726979765
-79.9926	-0.0125398	-20.5129966792626
-90.0063	-0.0134669	-22.0295758289575
-100.005	-0.0142975	-23.3882972632543
-109.998	-0.0150493	-24.6181151952365
-120.004	-0.0157285	-25.7291717786393
-129.999	-0.0163535	-26.7515663084196
-139.995	-0.0169274	-27.6903698614451
-150.008	-0.0174583	-28.5588326708217
-160.009	-0.0179514	-29.3654610590371
-170.002	-0.0184115	-30.1181070160802
-180.018	-0.0188424	-30.822986700692
-189.998	-0.0192469	-31.4846804403658
-200.007	-0.0196313	-32.1134939719619
-250.001	-0.0212452	-34.7535620225418
-299.997	-0.0225428	-36.8762166494904
-350.001	-0.0236138	-38.628191915722
-400	-0.0245249	-40.1185977654545
-450.003	-0.0252944	-41.37736991052
-500.009	-0.0259733	-42.4879357445486
-550.004	-0.0265702	-43.46436341627
-599.995	-0.0271016	-44.3336441412704
-650	-0.027583	-45.1211333038884
-700.005	-0.0280208	-45.8373002241089
-749.992	-0.0284171	-46.485580147552
-800.006	-0.0287841	-47.085930215439
-850.004	-0.0291189	-47.6336065171517
-899.991	-0.0294283	-48.1397327051741
-949.998	-0.0297198	-48.6165775138637
-1000	-0.0299877	-49.0548167051087
-2000	-0.033113	-54.1672801033845
-3000.01	-0.0345547	-56.5256580131194
-4000.01	-0.0354284	-57.9548837741899
-5000.02	-0.0360285	-58.9365461059037
-6000	-0.0364057	-59.5535816525167
-6999.99	-0.0367138	-60.0575812599172
-7999.99	-0.0369596	-60.4596685805892
-9000	-0.0371658	-60.7969769838543
-10000	-0.0373337	-61.0716330503345
-11000	-0.0374775	-61.3068655837464
-12000	-0.0375995	-61.5064369959595
-13000	-0.0376945	-61.6618409644861
-14000	-0.0378074	-61.8465263123456
-15000	-0.0378796	-61.9646333284258
-16000	-0.0379522	-62.0833946770051
-17000	-0.0380272	-62.2060820205788
-18000	-0.0380992	-62.3238618704094
-19000	-0.0381972	-62.484173332679
-18000	-0.0381574	-62.4190672490226
-17000	-0.0380926	-62.313065384175
-16000	-0.0380314	-62.2129525118189
-15000	-0.0379597	-62.0956634113625
-14000	-0.0378824	-61.9692136559192
-13000	-0.0378005	-61.8352390767368
-12000	-0.0377086	-61.6849061850779
-11000	-0.0375865	-61.4851711897401
-10000	-0.0374591	-61.2767662887897
-9000	-0.0373039	-61.0228852791546
-8000	-0.0371121	-60.7091328458556
-6999.99	-0.0368806	-60.330437912025
-5999.99	-0.0365879	-59.8516301058383
-4999.99	-0.0362255	-59.2588048616905
-4000.01	-0.035601	-58.237228247534
-3000	-0.0347371	-56.8240336326905
-2000	-0.0333065	-54.4838134498045
-999.997	-0.0302033	-49.4075019221017
